"","X1","LOCATION","TIME","gdp","tigs","neet","unemp","inflation"
"1",1,"AUS",1997,4.16705708699755,10.522018921385,16.034595,8.36223009500942,0.2
"2",2,"AUS",1998,4.98609778949294,7.2112627096549,14.880802,7.67559744144404,0.9
"3",3,"AUS",1999,4.2072926534353,8.4081771610143,13.637552,6.87233376065081,1.4
"4",4,"AUS",2000,3.31101661328453,7.65210369295878,13.19296,6.28261913416262,4.5
"5",5,"AUS",2001,2.69581958835254,-4.63066504601493,12.979,6.74231454361411,4.4
"6",6,"AUS",2002,4.00188430506237,11.1333644070266,12.743526,6.36761733935463,3
"7",7,"AUS",2003,2.89351997206949,11.0088797142763,12.591039,5.92869790539199,2.8
"8",8,"AUS",2004,3.96540795294857,15.546595511057,12.322674,5.39472577382596,2.3
"9",9,"AUS",2005,3.06311566378594,9.06099760382979,11.442005,5.03248019704151,2.7
"10",10,"AUS",2006,2.75769788346657,8.72746692650756,11.395142,4.78229229087003,3.5
"11",11,"AUS",2007,4.42941106480718,13.3398536799745,10.529561,4.37695416378443,2.4
"12",12,"AUS",2008,2.54077460966277,10.3442245918154,10.411158,4.23415838568051,4.3
"13",13,"AUS",2009,1.88961031790727,-8.04469004292618,12.320885,5.56066622330351,1.8
"14",14,"AUS",2010,2.44615797273821,15.5851113650413,11.827723,5.21132624373221,2.9
"15",15,"AUS",2011,2.73221948203925,10.6076223445289,11.516515,5.08109169075672,3.3
"16",16,"AUS",2012,3.93031508681344,5.69511194467245,11.717311,5.22357558948925,1.7
"17",17,"AUS",2013,2.10024008228556,-2.0303653714989,13.015899,5.66197573827318,2.5
"18",18,"AUS",2014,2.55055407668341,-1.36096968736477,12.647472,6.07675791972096,2.5
"19",19,"AUS",2015,2.29159372427296,1.73580228494704,11.83161,6.05421050754285,1.5
"20",20,"AUS",2016,2.75835911513738,0.336725024817255,11.35215,5.70990143405636,1.3
"21",21,"AUS",2017,2.50122799525333,7.8381386563833,10.946128,5.59112576332437,2
"22",22,"AUS",2018,2.77410455163495,4.15848913006652,10.842403,5.29826276653533,1.9
